date,fPrice,cPrice
2018/07,14.4323992,30.3
2018/08,14.23616581,30.3
2018/09,15.211208,31
2018/10,15.67520859,31
2018/11,12.93127873,28.4
2018/12,11.17879047,26
2019/01,11.58103883,27.9
2019/02,12.59461992,27.8
2019/03,12.98468494,28.8
2019/04,13.90329522,30.01
2019/05,13.86002644,30.3
2019/06,12.35336268,28.7
2019/07,12.59134306,28.7
2019/08,11.82848534,28.1
2019/09,12.23434364,28.6
2019/10,11.48174968,27.9
2019/11,11.92332906,28.4
2019/12,12.30120452,29.2
2020/01,12.31118101,28.3
2020/02,10.63060747,27
2020/03,6.59958374,19.7
2020/04,5.106068221,17.6
2020/05,6.052370221,21.1
2020/06,7.541011137,23.5
2020/07,7.973155307,23.8
2020/08,8.297832594,24
2020/09,7.702444844,23.7
2020/10,7.475605384,23.5
2020/11,7.787534272,23.6
2020/12,8.821609082,25.5
2021/01,9.645621065,26.6
2021/02,10.85097153,27
2021/03,11.67970649,28.3
2021/04,11.53440262,28.3
